CodePostal,Ville,Adresse
49000,Angers,"Centre Commercial Géant Casino, 75 Avenue Montaigne "
29000,Quimper,"Centre Commercial Glann Odet, 163 Route de Bénodet "
14000,Caen,81 Rue Saint Pierre 
72000,Le Mans,15 Rue Bolton 
14120,Mondeville,"Centre commercial Mondeville, 2 Avenue des commerces "
44000, Nantes,Boulevard General de Gaulle 
35400,Saint Malo,1 Rue Saint Vincent 
35400,Saint Malo,"Centre Commercial Carrefour La Madeleine, Avenue de la Flaudais "
44600,Saint-Nazaire,75 Avenue de la Republique 
29200,Brest,29 Route de Gouesnou
78200,Buchelay,"Centre commercial Auchan Mantes, ZA Portes de Normandie "
78370,Plaisir,"Centre Commercial Auchan Grand Plaisir, 161 Chemin Départemental "
35000,Rennes,1 Rue Lafayette 
51350,Cormontreuil,Route de Louvois 
51100,Reims,11 Rue Condorcet 
51430,Tinqueux,"Centre Commercial Carrefour, 31 Route Nationale"
77000,Melun,14 Rue René Pouteau 
77240,Cesson,Route Departementale 306 
28000,Chartres,34 Rue de Soleil d'or 
45000,Orléans,5 Rue de la République 
45770,Saran,"Centre Commercial Cap Saran, 2601 Route Nationale 20"
59140,Dunkerque,6 Rue Clémenceau 
80484,Dury,"Centre Commercial Auchan, Route d'Amiens"
80440,Glisy,"Centre Commercial Géant Amiens Glisy, Pôle Jules Verne, 8 avenue Phileas Fogg"
60000,Beauvais,"Centre commercial du Jeu de Paume, Place du jeu de Paume"
59155,Faches Thumesnil,"Centre Commercial Auchan, Route de Vendeville"
59320,Haubourdin,"Centre Commercial Englos les Géants, 352 Route Nationale"
77410,Claye-Souilly,Route Nationale 3 
91940,Les Ulis  ,"Centre Commercial Les Ulis, 2 Avenue de l?Aubrac"
68000,Colmar,1 Place Jeanne D'Arc
67500,Haguenau,36 Grande rue
54180,Houdemont,"Centre Commercial Cora, D570 "
57127,Thionville,"Centre Commercial Geric, Rue du Maillet "
54350,Mont Saint-Martin,"Centre Commercial Pôle Europe, 1 Avenue de l'Europe"
57280,Metz Sémecourt,"Centre Commercial Auchan, Voie Romaine "
57160,Moulins-lès-Metz,"Centre Commercial Waves Actisud, 1 Chemin de la Pie Grièche"
57000,Metz,9 Rue Marguerite Puhl Demange 
68100,Mulhouse,35 Rue du Sauvage
67450,Mundolsheim,"Centre Commercial Cora, Route Nationale 63"
54000,Nancy,Centre Commercial Saint-Sébastien 
78885,Saint-Quentin-en-Yvelines,"Centre Commercial Saint-Quentin, 5 place Colbert"
93160,Noisy le Grand,"Centre Commercial Les Arcades Mont d'Est, boulevard du Mont d'Est"
93600,Aulnay sous Bois,"Centre Commercial O'Parinor, Le Haut de Galy "
92397,Villeneuve la Garenne,4 Boulevard Gallieni 
67400,Illkirch Graffenstaden,"Centre Commercial Auchan Baggersee, 6 Route de Strasbourg"
77124,Chauconin Neufmontier,"Centre Commercial Auchan, Les Saisons de Meaux "
6600,Antibes,2350 Chemin de Saint-Claude 
20600,Furiani,"Centre Commercial Géant Casino, RN 193 "
13011,Marseille,"Centre Commercial La Valentine, Route de la Sablière "
13015,Marseille,"Centre Commercial Le Grand Littoral, 11 Avenue de Saint-Antoine "
13008,Marseille,"Centre Commercial Bonneveine, 112 Avenue de Hambourg "
13090,Aix-en-Provence,210 Avenue de Bredasque 
6400,Cannes,91 Rue d'Antibes 
6000,Nice,"Centre commercial Etoile, 30 Avenue Jean-Medecin "
83480,Puget sur Argens,"Commercial Grand Esterel, 148 Avenue Saint-Albert "
83600,Frejus,480 Avenue Eugene Joly 
83400,Hyeres,Centre Commercial Centre Azur 
